year,month,date,ATemp,kWH,humidity,Htemp,LTemp,precipitation
2013,6,2013-06-01,24.4,229,60,32.6,16.3,12
2013,7,2013-07-01,25.5,244,79,31.3,20.5,165
2013,8,2013-08-01,27.7,289,69,33.9,21.1,45
2013,9,2013-09-01,21.8,260,63,31.1,10.9,50
2013,10,2013-10-01,15.8,217,59,28.1,4.3,6.5
2013,11,2013-11-01,6.2,225,58,20.7,-6.4,14
2013,12,2013-12-01,-0.2,233,60,11,-9.8,14
2014,1,2014-01-01,-0.7,247,50,8.2,-10.5,5.3
2014,2,2014-02-01,1.9,245,52,16.4,-10.5,11
2014,3,2014-03-01,7.9,215,60,23.8,-4.6,3.5
2014,4,2014-04-01,14,224,60,26.2,2.3,13.5
2014,5,2014-05-01,18.9,211,59,33.3,6.8,23
2014,6,2014-06-01,23.1,222,73,31.1,17.3,33
2014,7,2014-07-01,26.1,235,74,34.4,19.1,59.5
2014,8,2014-08-01,25.2,259,77,35.8,18.3,46.5
2014,9,2014-09-01,22.1,234,69,31.3,14.9,57.5
2014,10,2014-10-01,15.6,211,63,29,2.7,21.5
2014,11,2014-11-01,9,221,61,22.9,-3.1,18
2014,12,2014-12-01,-2.9,232,56,7.9,-13.2,10.5
2015,1,2015-01-01,-0.9,248,56,9,-9.8,4
2015,2,2015-02-01,1,242,59,13,-13,10.5
2015,3,2015-03-01,6.3,214,45,21.9,-6.9,5.5
2015,4,2015-04-01,13.3,223,55,28.3,3.5,28
2015,5,2015-05-01,18.9,208,53,32.2,8.3,14
2015,6,2015-06-01,23.6,216,60,34.9,15.6,44.5
2015,7,2015-07-01,25.8,229,71,36,18.2,80
2015,8,2015-08-01,26.3,278,70,34.4,18.9,29
2015,9,2015-09-01,22.4,239,56,31,14.2,18
2015,10,2015-10-01,15.5,207,61,26.6,1.1,35
2015,11,2015-11-01,8.9,218,74,21,-7.3,24.5
2015,12,2015-12-01,1.6,227,60,12.2,-9.5,13.5
2016,1,2016-01-01,-3.2,242,53,9.5,-18,0.4
2016,2,2016-02-01,0.2,245,52,14.4,-10,21
2016,3,2016-03-01,7,219,51,21.4,-7.5,40
2016,4,2016-04-01,14.1,219,55,29.6,5.1,23.5
2016,5,2016-05-01,19.6,206,56,31.9,8.9,45
2016,6,2016-06-01,23.6,215,63,32.2,17.1,30.5
2016,7,2016-07-01,26.2,235,73,34.1,19.8,108.5
2016,8,2016-08-01,28,315,64,36.6,16.1,20
2016,9,2016-09-01,23.1,262,65,31.1,14.3,13.5
2016,10,2016-10-01,16.1,206,62,29,0.7,37
2016,11,2016-11-01,6.8,214,57,18.6,-6.2,5.5
2016,12,2016-12-01,1.2,222,59,13.6,-9.8,29
2017,1,2017-01-01,-1.8,236,55,11.4,-12.6,4.5
2017,2,2017-02-01,-0.2,238,54,12.3,-9.3,5.1
2017,3,2017-03-01,6.3,208,48,18.9,-5.3,5
2017,4,2017-04-01,13.9,216,52,27.8,3.1,37.5
2017,5,2017-05-01,19.5,202,52,30.3,10,6
2017,6,2017-06-01,23.3,210,57,34.1,14.5,29
2017,7,2017-07-01,26.9,248,77,35.4,21.9,144.5
2017,8,2017-08-01,25.9,300,71,35.3,16.1,124.5
2017,9,2017-09-01,22.1,233,61,31.4,11.2,24
2017,10,2017-10-01,16.4,203,56,29.4,2.5,20
2017,11,2017-11-01,5.6,213,54,18.4,-6.6,24
2017,12,2017-12-01,-1.9,228,56,8.7,-12.3,20
2018,1,2018-01-01,-4,245,48,8.7,-17.8,3.3
2018,2,2018-02-01,-1.6,247,45,10.4,-13.4,25
2018,3,2018-03-01,8.1,211,59,22.1,-6.7,27
2018,4,2018-04-01,13,216,55,26.3,0.1,59
2018,5,2018-05-01,18.2,203,63,29.6,6.9,83
2018,6,2018-06-01,23.1,213,63,32.9,16.3,71.5
2018,7,2018-07-01,27.8,245,68,38.3,17.7,83.5
2018,8,2018-08-01,28.8,371,65,39.6,20.2,96.5
2018,9,2018-09-01,21.5,261,61,30.9,10.8,34.5
2018,10,2018-10-01,13.1,201,59,25.6,0.7,55.5
2018,11,2018-11-01,7.8,211,58,19.4,-3.1,64
2018,12,2018-12-01,-0.6,222,46,13.5,-14.4,9.5
2019,1,2019-01-01,-0.9,240,46,8.5,-10.1,0
2019,2,2019-02-01,1,234,47,14.5,-10.2,16
2019,3,2019-03-01,7.1,205,51,17.6,-1.7,16.5
2019,4,2019-04-01,12.1,215,51,28.2,0.3,17.4
2019,5,2019-05-01,19.4,200,47,33.4,8.4,22
2019,6,2019-06-01,22.5,207,61,32.8,14.1,35.3
2019,7,2019-07-01,25.9,229,69,36.1,19.3,62.3
2019,8,2019-08-01,27.2,308,69,36.8,18.5,56.2
2019,9,2019-09-01,22.6,261,65,30.5,13.6,63.2
2019,10,2019-10-01,16.4,207,62,28.2,4.7,25.4
2019,11,2019-11-01,7.6,208,56,22.1,-4.6,21.1
2019,12,2019-12-01,1.4,220,58,12.9,-10.9,9.8
2020,1,2020-01-01,1.6,234,56,11.9,-6.5,46.3
2020,2,2020-02-01,2.5,233,58,15.6,-11.8,16.6
2020,3,2020-03-01,7.7,220,46,20.6,-2.8,11.8
2020,4,2020-04-01,11.1,222,50,23.8,1.9,10.3
2020,5,2020-05-01,18,208,67,30,9.2,29.8
2020,6,2020-06-01,23.9,222,68,35.4,14.8,64.7
2020,7,2020-07-01,24.1,238,77,32.9,17.2,103.1
2020,8,2020-08-01,26.5,276,85,34.5,21.5,102.6
2020,9,2020-09-01,21.4,287,71,29.5,13.6,61
2020,10,2020-10-01,14.3,210,61,23.6,3.2,0
2020,11,2020-11-01,8,216,64,20,-3.6,86.9
2020,12,2020-12-01,-0.3,231,58,11.4,-12.9,2.9
2021,1,2021-01-01,-2.4,257,58,13.9,-18.6,9.2
2021,2,2021-02-01,2.7,245,56,17.4,-10.6,3.4
2021,3,2021-03-01,9,211,63,22.9,-1.2,67.5
2021,4,2021-04-01,14.2,216,54,28.2,3.1,56.2
2021,5,2021-05-01,17.1,206,68,30.8,7.3,66.9
2021,6,2021-06-01,22.8,218,73,31.6,13.3,38.2
2021,7,2021-07-01,28.1,270,71,36.5,19.6,67.4
2021,8,2021-08-01,25.9,362,74,33.7,18.1,77.4
2021,9,2021-09-01,22.6,259,71,30.3,16,68.1
2021,10,2021-10-01,15.6,218,70,28.8,1.3,14.2
2021,11,2021-11-01,8.2,217,68,21.3,-3.7,27.2
2021,12,2021-12-01,0.6,225,62,13.3,-15.5,2.8
2022,1,2022-01-01,-2.2,233,55,8.4,-11.3,1.7
2022,2,2022-02-01,-1.1,245,55,11.5,-10.7,1.7
2022,3,2022-03-01,7.7,218,62,19.5,-3,42.1
2022,4,2022-04-01,14.8,220,55,28.7,3.5,15.5
2022,5,2022-05-01,19.1,202,55,30.7,7.9,3.5
2022,6,2022-06-01,23.3,214,73,32.7,14.9,176.2
2022,7,2022-07-01,27.3,277,77,36.1,20.8,114.5
2022,8,2022-08-01,25.7,329,80,32.9,16.1,129.6
2022,9,2022-09-01,22.4,261,68,32.5,12.3,120
2022,10,2022-10-01,14.6,213,69,27.6,4.4,76
2022,11,2022-11-01,10,212,65,22.1,-8.1,57.9
2022,12,2022-12-01,-2.8,225,59,10.2,-13.7,5.4
2023,1,2023-01-01,-1.6,242,63,12.5,-17.3,3.1
2023,2,2023-02-01,2.3,221,58,12.4,-5.3,0.2
2023,3,2023-03-01,9.6,206,51,25.1,-1.9,2.6
2023,4,2023-04-01,13.8,205,59,28.4,3.1,6.9
2023,5,2023-05-01,19.4,200,62,31.2,7.9,14.1
2023,6,2023-06-01,23.4,,73,27.9,19.7,195.6
2023,7,2023-07-01,23.9,,81,30.2,23.9,459.9
